file,experiment,cell,label,engine,n,ef,concurrency,selectivity,trial,p50_ms,p95_ms,p99_ms,qps,recall_at_10,error_rate,n_measured,invalid,index_build_s,time_to_searchable_s,rss_mb
mongo-100k.jsonl,E5,e5_cold,cold_no_warmup,mongo,100000,64.0,,,,12.591549995704554,15.810174992657265,32.10314301250031,73.79911496966025,,0.0,50.0,,,,
mongo-10k.jsonl,E4,ingest,ingest_bulk,mongo,10000,,,,,,,,,,,,,38.24764799998957,38.21103349997429,909.6
mongo-10k.jsonl,E0,e0_high_ef,e0_high_ef,mongo,10000,256.0,1.0,100,1.0,12.096950013074093,16.066545003559426,21.956240998988495,77.98789241069352,0.9997999999999999,0.0,500.0,False,,,910.2
mongo-10k.jsonl,E4,ingest,ingest_bulk,mongo,10000,,,,,,,,,,,,,33.07815159999882,33.02966070003458,1067.2
mongo-10k.jsonl,E1,e1_iso_config,e1_iso_config,mongo,10000,64.0,1.0,100,1.0,9.57709999056533,12.030844991386399,15.280252993106842,101.50659127981334,0.9955999999999999,0.0,500.0,False,,,1066.8
mongo-10k.jsonl,E1,e1_iso_config,e1_iso_config,mongo,10000,64.0,1.0,100,2.0,8.973649994004518,11.709759983932598,14.942488998640306,106.23349463492542,0.9954,0.0,500.0,False,,,1068.4
mongo-10k.jsonl,E1,e1_iso_config,e1_iso_config,mongo,10000,64.0,1.0,100,3.0,8.835000015096739,13.309665015549387,28.31086699385192,102.7846584111484,0.9959999999999999,0.0,500.0,False,,,1069.2
mongo-10k.jsonl,E4,ingest,ingest_bulk,mongo,10000,,,,,,,,,,,,,27.854511599987745,27.81065330002457,1150.2
mongo-10k.jsonl,E3,e3_filter,e3_filter,mongo,10000,64.0,1.0,100,1.0,9.81490001140628,12.461865006480366,15.695650000707245,98.81951003853992,0.9951999999999998,0.0,500.0,False,,,1149.6
mongo-10k.jsonl,E3,e3_filter,e3_filter,mongo,10000,64.0,4.0,100,1.0,11.468550001154654,17.001450002135243,24.47791400423739,325.3386987279023,0.9953999999999997,0.0,500.0,False,,,1151.1
mongo-10k.jsonl,E3,e3_filter,e3_filter,mongo,10000,64.0,1.0,50,1.0,10.788850006065331,13.60443999583367,20.810584016726345,89.8661905002981,0.5030000000000003,0.0,500.0,False,,,1171.1
mongo-10k.jsonl,E3,e3_filter,e3_filter,mongo,10000,64.0,4.0,50,1.0,11.814649988082238,16.763120000541665,22.851524016587035,320.51824466765305,0.5032000000000003,0.0,500.0,False,,,1185.8000000000002
mongo-10k.jsonl,E3,e3_filter,e3_filter,mongo,10000,64.0,1.0,10,1.0,9.069499996257946,14.550415004487144,26.352735006075818,100.3170560680888,0.10240000000000049,0.0,500.0,False,,,1340.6
mongo-10k.jsonl,E3,e3_filter,e3_filter,mongo,10000,64.0,4.0,10,1.0,10.70529998105485,16.252724995138124,20.203247019380765,331.4786879705889,0.10240000000000049,0.0,500.0,False,,,1174.3
mongo-10k.jsonl,E3,e3_filter,e3_filter,mongo,10000,64.0,1.0,1,1.0,9.159549998003058,14.699760000803497,22.24251798965268,101.88324868402931,0.010799999999999997,0.0,500.0,False,,,1159.3
mongo-10k.jsonl,E3,e3_filter,e3_filter,mongo,10000,64.0,4.0,1,1.0,9.170549979899079,17.23895000031916,25.45792501710821,387.2937292920896,0.010799999999999997,0.0,500.0,False,,,1310.1999999999998
mongo-10k.jsonl,E5,e5_cold,cold_no_warmup,mongo,10000,64.0,,,,9.880850004265085,12.428174992965069,24.416866007086313,94.02099789813414,,0.0,50.0,,,,
mongo-250k.jsonl,E4,ingest,ingest_bulk,mongo,10000,,,,,,,,,,,,,40.87186330000986,40.56211389999953,1759.1999999999998
mongo-250k.jsonl,E0,e0_high_ef,e0_high_ef,mongo,10000,256.0,1.0,100,1.0,12.435249998816289,15.666144990245808,21.7232290044194,76.92816956775772,0.9992,0.0,500.0,False,,,1782.1
mongo-250k.jsonl,E4,ingest,ingest_bulk,mongo,250000,,,,,,,,,,,,,324.4513408000057,324.3781566999969,2288.0
mongo-250k.jsonl,E1,e1_iso_config,e1_iso_config,mongo,250000,64.0,1.0,100,1.0,28.474599981564097,138.7244800047481,352.7363999743827,21.41112255660134,0.9867999999999998,0.0,500.0,False,,,2290.5
mongo-250k.jsonl,E1,e1_iso_config,e1_iso_config,mongo,250000,64.0,1.0,100,2.0,13.951749991974793,18.88161998213035,46.89145400800039,66.432619234461,0.9895999999999997,0.0,500.0,False,,,2290.4
mongo-250k.jsonl,E1,e1_iso_config,e1_iso_config,mongo,250000,64.0,1.0,100,3.0,14.821949996985495,19.3355600014911,31.11790000693872,64.02243100139472,0.9897999999999996,0.0,500.0,False,,,2291.9
mongo-250k.jsonl,E1,e1_iso_recall_sweep,e1_iso_recall_sweep,mongo,250000,32.0,1.0,100,1.0,12.894300001789816,16.422094995505173,37.8964139954769,73.23933016476256,0.9815999999999994,0.0,500.0,False,,,2293.4
mongo-250k.jsonl,E1,e1_iso_recall_sweep,e1_iso_recall_sweep,mongo,250000,64.0,1.0,100,1.0,13.754999992670491,17.985435004811734,31.604266975773474,69.02212871527276,0.9897999999999996,0.0,500.0,False,,,2294.1
